id,text,author,followers,likes,retweets,replies,hashtags,created_at,platform
20,"The Tesla Semi just completed a 500 mile trip fully loaded. Electric trucking is finally here. #Tesla #TeslaSemi",trucking_news,34500,2189,891,234,"Tesla,TeslaSemi",2024-01-15T21:00:00Z,x
21,"Ford just released new EV lineup to compete with Tesla. Interesting to see how the market responds. #Ford #EV #Tesla",auto_analyst,28900,456,178,89,"Ford,EV,Tesla",2024-01-15T08:00:00Z,x
22,"BMW announces 10 new electric models by 2025. Tesla has some serious competition coming. #BMW #EV #Tesla",car_blog,15600,234,89,45,"BMW,EV,Tesla",2024-01-15T08:30:00Z,x
23,"Ford Mustang Mach-E getting a major software update. Still not as polished as Tesla though. #Ford #MachE #EV",ford_owner,8900,189,67,123,"Ford,MachE,EV",2024-01-15T09:00:00Z,x
24,"BMW iX owner for 6 months — here is my honest review vs Tesla Model X. Thread. #BMW #Tesla #EVReview",bmw_owner,4560,567,234,345,"BMW,Tesla,EVReview",2024-01-15T09:30:00Z,x
25,"The EV market is heating up. Tesla still leads but Ford and BMW are closing the gap fast. #EV #Tesla #Ford #BMW",market_watch,67800,890,345,167,"EV,Tesla,Ford,BMW",2024-01-15T10:00:00Z,x
26,"Tesla Autopilot involved in another accident. Regulators increasing scrutiny on FSD technology. #Tesla #FSD #Safety",safety_reporter,45200,1234,567,890,"Tesla,FSD,Safety",2024-01-15T22:00:00Z,x
27,"Elon Musk tweets cryptic message about Tesla phone. Could this be real? #Tesla #ElonMusk #TeslaPhone",rumor_mill,23400,3456,1234,567,"Tesla,ElonMusk,TeslaPhone",2024-01-15T22:30:00Z,x
28,"Tesla insurance now available in 12 states. Rates are surprisingly competitive for Model 3 owners. #Tesla #Insurance",insurance_news,12300,456,123,67,"Tesla,Insurance",2024-01-15T23:00:00Z,x
29,"Another great day of driving my Tesla. Charged overnight on solar. Zero fuel cost this month! #Tesla #SolarPower",solar_driver,6780,789,234,45,"Tesla,SolarPower",2024-01-15T23:30:00Z,x
30,"Tesla stock analysis: Overweight rating with $300 price target. Strong fundamentals despite macro headwinds. #TSLA #Tesla",wall_st_analyst,89200,567,234,89,"TSLA,Tesla",2024-01-15T07:00:00Z,x
